date,hour,day_of_week,is_weekend,demand_orders,is_peak
2025-02-07,11,Friday,FALSE,39606,TRUE
2025-02-07,12,Friday,FALSE,44914,TRUE
2025-02-07,13,Friday,FALSE,49026,TRUE
2025-02-07,14,Friday,FALSE,49796,TRUE
2025-02-07,15,Friday,FALSE,46536,TRUE
2025-02-07,16,Friday,FALSE,44629,TRUE
2025-02-07,17,Friday,FALSE,46776,TRUE
2025-02-07,18,Friday,FALSE,43830,TRUE
2025-02-07,19,Thursday,FALSE,20609,FALSE
2025-02-07,20,Thursday,FALSE,12834,FALSE
2025-02-07,21,Thursday,FALSE,8576,FALSE
2025-02-07,22,Thursday,FALSE,7417,FALSE
2025-02-07,23,Thursday,FALSE,9095,FALSE
2025-02-08,0,Saturday,TRUE,11234,FALSE
2025-02-08,1,Saturday,TRUE,14269,FALSE
2025-02-08,2,Saturday,TRUE,18712,FALSE
2025-02-08,3,Saturday,TRUE,23872,FALSE
2025-02-08,4,Saturday,TRUE,28976,FALSE
2025-02-08,5,Saturday,TRUE,32065,FALSE
2025-02-08,6,Saturday,TRUE,34361,FALSE
2025-02-08,7,Saturday,TRUE,35936,FALSE
2025-02-08,8,Saturday,TRUE,37247,TRUE
2025-02-08,9,Saturday,TRUE,38349,TRUE
2025-02-08,10,Saturday,TRUE,39287,TRUE
2025-02-08,11,Saturday,TRUE,41364,TRUE
2025-02-08,12,Saturday,TRUE,44682,TRUE
2025-02-08,13,Saturday,TRUE,49320,TRUE
2025-02-08,14,Saturday,TRUE,51869,TRUE
2025-02-08,15,Saturday,TRUE,48321,TRUE
2025-02-08,16,Saturday,TRUE,37869,TRUE
2025-02-08,17,Saturday,TRUE,37596,TRUE
2025-02-08,18,Saturday,TRUE,36227,FALSE
2025-02-08,19,Friday,FALSE,36017,FALSE
2025-02-08,20,Friday,FALSE,28830,FALSE
2025-02-08,21,Friday,FALSE,21921,FALSE
2025-02-08,22,Friday,FALSE,16723,FALSE
2025-02-08,23,Friday,FALSE,13809,FALSE
2025-02-09,0,Sunday,TRUE,10355,FALSE
2025-02-09,1,Sunday,TRUE,12504,FALSE
2025-02-09,2,Sunday,TRUE,16331,FALSE
2025-02-09,3,Sunday,TRUE,19546,FALSE
2025-02-09,4,Sunday,TRUE,24572,FALSE
2025-02-09,5,Sunday,TRUE,30075,FALSE
2025-02-09,6,Sunday,TRUE,31889,FALSE
2025-02-09,7,Sunday,TRUE,33228,FALSE
2025-02-09,8,Sunday,TRUE,34210,FALSE
2025-02-09,9,Sunday,TRUE,35153,FALSE
2025-02-09,10,Sunday,TRUE,35943,FALSE
2025-02-09,11,Sunday,TRUE,37827,TRUE
2025-02-09,12,Sunday,TRUE,42874,TRUE
2025-02-09,13,Sunday,TRUE,45269,TRUE
2025-02-09,14,Sunday,TRUE,33811,FALSE
2025-02-09,15,Sunday,TRUE,29741,FALSE
2025-02-09,16,Sunday,TRUE,36415,FALSE
2025-02-09,17,Sunday,TRUE,42440,TRUE
2025-02-09,18,Sunday,TRUE,34194,FALSE
2025-02-09,19,Saturday,TRUE,33173,FALSE
2025-02-09,20,Saturday,TRUE,27384,FALSE
2025-02-09,21,Saturday,TRUE,20661,FALSE
2025-02-09,22,Saturday,TRUE,15870,FALSE
2025-02-09,23,Saturday,TRUE,12756,FALSE
2025-02-10,0,Monday,FALSE,12479,FALSE
2025-02-10,1,Monday,FALSE,21618,FALSE
2025-02-10,2,Monday,FALSE,33620,FALSE
2025-02-10,3,Monday,FALSE,42171,TRUE
2025-02-10,4,Monday,FALSE,35768,FALSE
2025-02-10,5,Monday,FALSE,29195,FALSE
2025-02-10,6,Monday,FALSE,26250,FALSE
2025-02-10,7,Monday,FALSE,26553,FALSE
2025-02-10,8,Monday,FALSE,28417,FALSE
2025-02-10,9,Monday,FALSE,30882,FALSE
2025-02-10,10,Monday,FALSE,31705,FALSE
2025-02-10,11,Monday,FALSE,32002,FALSE
2025-02-10,12,Monday,FALSE,36096,FALSE
2025-02-10,13,Monday,FALSE,36252,FALSE
2025-02-10,14,Monday,FALSE,32829,FALSE
2025-02-10,15,Monday,FALSE,30519,FALSE
2025-02-10,16,Monday,FALSE,28912,FALSE
2025-02-10,17,Monday,FALSE,25637,FALSE
2025-02-10,18,Monday,FALSE,19557,FALSE
2025-02-10,19,Sunday,TRUE,19266,FALSE
2025-02-10,20,Sunday,TRUE,10425,FALSE
2025-02-10,21,Sunday,TRUE,7080,FALSE
2025-02-10,22,Sunday,TRUE,6208,FALSE
2025-02-10,23,Sunday,TRUE,8468,FALSE
2025-02-11,0,Tuesday,FALSE,11789,FALSE
2025-02-11,1,Tuesday,FALSE,21851,FALSE
2025-02-11,2,Tuesday,FALSE,36542,FALSE
2025-02-11,3,Tuesday,FALSE,44303,TRUE
2025-02-11,4,Tuesday,FALSE,36527,FALSE
2025-02-11,5,Tuesday,FALSE,29658,FALSE
2025-02-11,6,Tuesday,FALSE,27039,FALSE
2025-02-11,7,Tuesday,FALSE,26871,FALSE
2025-02-11,8,Tuesday,FALSE,27822,FALSE
2025-02-11,9,Tuesday,FALSE,31766,FALSE
2025-02-11,10,Tuesday,FALSE,32266,FALSE
2025-02-11,11,Tuesday,FALSE,33613,FALSE
2025-02-11,12,Tuesday,FALSE,38764,TRUE
2025-02-11,13,Tuesday,FALSE,39730,TRUE
2025-02-11,14,Tuesday,FALSE,36608,FALSE
2025-02-11,15,Tuesday,FALSE,36371,FALSE
2025-02-11,16,Tuesday,FALSE,33317,FALSE
2025-02-11,17,Tuesday,FALSE,29875,FALSE
2025-02-11,18,Tuesday,FALSE,23698,FALSE
2025-02-11,19,Monday,FALSE,13450,FALSE
2025-02-11,20,Monday,FALSE,7467,FALSE
2025-02-11,21,Monday,FALSE,4908,FALSE
2025-02-11,22,Monday,FALSE,4593,FALSE
2025-02-11,23,Monday,FALSE,7158,FALSE
2025-02-12,0,Wednesday,FALSE,12038,FALSE
2025-02-12,1,Wednesday,FALSE,22102,FALSE
2025-02-12,2,Wednesday,FALSE,36529,FALSE
2025-02-12,3,Wednesday,FALSE,45140,TRUE
2025-02-12,4,Wednesday,FALSE,37725,TRUE
2025-02-12,5,Wednesday,FALSE,30606,FALSE
2025-02-12,6,Wednesday,FALSE,28208,FALSE
2025-02-12,7,Wednesday,FALSE,28522,FALSE
2025-02-12,8,Wednesday,FALSE,29693,FALSE
2025-02-12,9,Wednesday,FALSE,34007,FALSE
2025-02-12,10,Wednesday,FALSE,34195,FALSE
2025-02-12,11,Wednesday,FALSE,35974,FALSE
2025-02-12,12,Wednesday,FALSE,41206,TRUE
2025-02-12,13,Wednesday,FALSE,42700,TRUE
2025-02-12,14,Wednesday,FALSE,39393,TRUE
2025-02-12,15,Wednesday,FALSE,36559,FALSE
2025-02-12,16,Wednesday,FALSE,36293,FALSE
2025-02-12,17,Wednesday,FALSE,33496,FALSE
2025-02-12,18,Wednesday,FALSE,27017,FALSE
2025-02-12,19,Tuesday,FALSE,14768,FALSE
2025-02-12,20,Tuesday,FALSE,8470,FALSE
2025-02-12,21,Tuesday,FALSE,5456,FALSE
2025-02-12,22,Tuesday,FALSE,5101,FALSE
2025-02-12,23,Tuesday,FALSE,7774,FALSE
2025-02-13,0,Thursday,FALSE,13126,FALSE
2025-02-13,1,Thursday,FALSE,23774,FALSE
2025-02-13,2,Thursday,FALSE,38523,TRUE
2025-02-13,3,Thursday,FALSE,47150,TRUE
2025-02-13,4,Thursday,FALSE,39569,TRUE
2025-02-13,5,Thursday,FALSE,32771,FALSE
2025-02-13,6,Thursday,FALSE,29982,FALSE
2025-02-13,7,Thursday,FALSE,29796,FALSE
2025-02-13,8,Thursday,FALSE,31395,FALSE
2025-02-13,9,Thursday,FALSE,35124,FALSE
2025-02-13,10,Thursday,FALSE,35100,FALSE
2025-02-13,11,Thursday,FALSE,36648,FALSE
2025-02-13,12,Thursday,FALSE,40948,TRUE
2025-02-13,13,Thursday,FALSE,44032,TRUE
2025-02-13,14,Thursday,FALSE,43080,TRUE
2025-02-13,15,Thursday,FALSE,40182,TRUE
2025-02-13,16,Thursday,FALSE,38395,TRUE
