scenario,mean_fulfillment_rate,mean_avg_worker_earnings,total_platform_margin,mean_service_quality_score,mc_run
peak_bonus,0.9173666634679288,40.569833798429144,52696779.549567,0.9002233593508846,14
surge_pricing,0.9197547395151385,48.91040792063638,81477960.72475389,0.8789422776855359,14
balanced_incentive,0.9350580904628158,45.54135135680722,59258380.59249832,0.924252515870052,15
baseline,0.7928047108052295,41.953387797289274,47834632.92534982,0.6765491404567694,15
higher_base_pay,0.909771775927571,46.4120121759574,48309238.65390369,0.8866936788076542,15
peak_bonus,0.8502684846724846,42.454423745279854,47802698.541708656,0.7976127751134506,15
surge_pricing,0.9314547844090515,50.392163310773896,82398196.29372236,0.8932778660012314,15
balanced_incentive,0.8803546162515733,40.37011869966131,56307939.795276225,0.8443771935950013,16
baseline,0.9160871783018577,34.725408476829536,59861219.99826475,0.8975470061492811,16
higher_base_pay,0.8619471170163931,41.16558581567584,46653013.79510692,0.8166296844317441,16
peak_bonus,0.9281095254276538,35.34090286002013,54698673.73613529,0.9121769722801385,16
surge_pricing,0.8711368002679034,50.51438738761175,76418188.96906795,0.8286529666719356,16
balanced_incentive,0.9199095643730727,48.84485348867231,59395436.704407245,0.8896632788496557,17
baseline,0.9334205165031747,43.684113070632435,60647690.41379802,0.9206465037589989,17
higher_base_pay,0.9074364625957541,51.246159399047194,49756873.44327487,0.8685094513578955,17
peak_bonus,0.9510452183824023,43.098737484382355,56144518.701069556,0.9416045573783359,17
surge_pricing,0.918130680798882,54.3481432445776,81176363.14969674,0.8806057544704575,17
balanced_incentive,0.9119711648907668,42.137259752617915,58618967.85620505,0.8750527685174515,18
baseline,0.8886947808469005,39.26890912330231,55730738.299717456,0.8496857082095688,18
higher_base_pay,0.8728677973978546,43.3664856623595,47198666.80294564,0.813139557893771,18
peak_bonus,0.9475833584729189,39.287112357582394,55286655.76568684,0.9388525809072298,18
surge_pricing,0.7709713017904267,50.86690066884662,66569840.83710155,0.6325467680742786,18
balanced_incentive,0.8726822606273789,43.16120972390097,53965216.23871354,0.8359512160330892,19
baseline,0.6379074216944638,41.24906173209452,35917647.92646331,0.3678107608150361,19
higher_base_pay,0.8618884871261644,43.424170003740436,44355093.83179475,0.8072600990423576,19
peak_bonus,0.7091863531884524,41.48244567317609,38004451.9908251,0.50343036635978,19
surge_pricing,0.8432740086870857,46.600360427180966,74121751.49734148,0.7477379061640429,19
balanced_incentive,0.9264181902167316,44.73391337358135,59460023.037470065,0.9074294038778755,20
baseline,0.8994990556263234,41.14443031888909,56719571.301660836,0.8676760950930353,20
higher_base_pay,0.8962322592817484,45.80135841022871,48372834.54503793,0.864982091297379,20
peak_bonus,0.9502364446566214,41.23676388364462,55580682.98748406,0.943311899061764,20
surge_pricing,0.8974150247584772,50.0000014547548,79279993.15868421,0.8439737525121406,20
balanced_incentive,0.9291800776145976,43.20743671179602,59704912.740119725,0.9051158971687474,21
baseline,0.8598563474672741,41.37468138673567,53241293.767831266,0.7999917405669013,21
higher_base_pay,0.8909650735383724,44.33956034594674,48029720.529140286,0.8473195916077462,21
peak_bonus,0.9245312163933808,41.29598793918859,53445665.78154801,0.906987687790138,21
surge_pricing,0.8443129035988035,49.90407004505279,74393719.4617309,0.7537806194749345,21
balanced_incentive,0.9465614020221513,45.88678643496686,61043807.24734664,0.931336613892624,22
baseline,0.9053022723250693,40.860960760505975,57296165.51641407,0.8780722116631249,22
higher_base_pay,0.9190882507634716,47.485792339038845,49984081.83493412,0.8922503203192825,22
peak_bonus,0.9496795579523237,41.34909157567898,55500090.05328429,0.9429340377414593,22
surge_pricing,0.9307450880014826,49.40207394282629,82416219.2454215,0.8948939126813131,22
balanced_incentive,0.9403845664330611,42.55625255627875,59891188.66267999,0.9299165847121474,23
baseline,0.7826386780009003,40.405026779296385,47012707.334790505,0.6556134061969093,23
higher_base_pay,0.9023692175338967,43.43020092198393,48085176.027044006,0.8747357166729381,23
peak_bonus,0.8507232091999265,40.55169636885264,47803929.89967383,0.7950663905440022,23
surge_pricing,0.8526894798437821,49.201011815240136,75057348.04497279,0.7698118717133211,23
balanced_incentive,0.9562705344730644,49.56405533586435,61235647.37295048,0.9492229111470255,24
baseline,0.7466548127906089,48.08710574519752,44187031.880460836,0.5816226410677493,24
higher_base_pay,0.9144053824476398,50.23803143172839,48687975.8968128,0.8907716077093643,24
peak_bonus,0.824702592731467,48.48163334629769,46457395.68413587,0.7446588054677122,24
surge_pricing,0.8411586939100589,55.65745115711373,74265842.0328991,0.7538822429496825,24
balanced_incentive,0.9476556716194219,47.164026621261215,61111393.92144435,0.9371094941271452,25
baseline,0.9267838084238428,42.43535444865885,59265967.52467075,0.9095463176252401,25
higher_base_pay,0.9260812226561826,48.94213047668993,50305644.83500081,0.9090795316563882,25
peak_bonus,0.9664782788999586,42.50558489642866,57097691.853469536,0.9631617763147731,25
surge_pricing,0.9510347067305084,51.975724342135194,83966338.1646974,0.9349503140334795,25
