scenario,date,hour,is_peak,base_demand_orders,demand_orders,active_workers,total_capacity,fulfilled_orders,unfilled_orders,fulfillment_rate,utilization,wait_pressure_index,service_quality_score,avg_worker_earnings,platform_revenue,worker_cost,platform_margin
surge_pricing,2025-02-28,5,FALSE,30972,27432,8971.210958787244,20187.642541250858,20187.642541250858,7244.357458749142,0.7359158115066659,1,1.3588510864478716,0.6411489135521284,69.75554267396578,411827.9078415175,230139.12497025976,181688.78287125772
surge_pricing,2025-02-28,6,FALSE,29855,26443,8102.628192215507,18253.586606756653,18253.586606756653,8189.413393243347,0.690299383835293,1,1.4486468095104112,0.5513531904895888,70.21773926124959,372373.16677783575,208090.88731702583,164282.27946080992
surge_pricing,2025-02-28,7,FALSE,30348,26880,8481.057960504879,19096.989055048074,19096.989055048074,7783.010944951926,0.710453461869348,1,1.4075517309308283,0.5924482690691717,70.02127863356186,389578.5767229807,217705.67522754802,171872.90149543268
surge_pricing,2025-02-28,8,FALSE,32902,29142,10554.11997193163,23694.83133088715,23694.83133088715,5447.168669112849,0.8130818519966767,1,1.2298884762269757,0.7701115237730243,68.80245291319342,483374.5591500979,270121.0771721135,213253.48197798437
surge_pricing,2025-02-28,9,FALSE,36163,32030,13377.454751702491,29880.641527617972,29880.641527617972,2149.3584723820277,0.9328954582459561,1,1.0719314700922813,0.9280685299077187,66.68159384312837,609565.0871634067,340639.3134148449,268925.77374856174
surge_pricing,2025-02-28,10,FALSE,36047,31927,13275.228158763235,29658.49409767017,29658.49409767017,2268.505902329831,0.9289471011266379,1,1.0764875618721328,0.9235124381278672,66.76890991600821,605033.2795924714,338106.8327134399,266926.44687903154
surge_pricing,2025-02-28,11,TRUE,37740,33427,16367.961987848104,36404.80512358442,33427,0,1,0.9182029648702807,0.9182029648702807,1,59.29776258963118,681910.7999999999,381067.8,300842.99999999994
surge_pricing,2025-02-28,12,TRUE,41958,37163,19059.307055287853,42702.832714474265,37163,0,1,0.8702701352035477,0.8702701352035477,1,56.64028726577537,758125.2,423658.2,334466.99999999994
surge_pricing,2025-02-28,13,TRUE,45480,40282,20067.463010452597,45111.5037312079,40282,0,1,0.8929429672753987,0.8929429672753987,1,57.67593586515106,821752.7999999999,459214.8,362537.99999999994
surge_pricing,2025-02-28,14,TRUE,46117,40846,20213.9779094338,45465.42840733107,40846,0,1,0.8983969013566754,0.8983969013566754,1,57.922413252208464,833258.4,465644.39999999997,367614.00000000006
surge_pricing,2025-02-28,15,TRUE,43663,38673,19603.735130935267,43998.21552443389,38673,0,1,0.8789674658174127,0.8789674658174127,1,57.02989962069288,788929.2,440872.2,348056.99999999994
surge_pricing,2025-02-28,16,TRUE,42285,37452,19176.052228779867,42979.68021866979,37452,0,1,0.8713885214932651,0.8713885214932651,1,56.685806913850016,764020.7999999999,426952.8,337067.99999999994
surge_pricing,2025-02-28,17,TRUE,44067,39031,19714.422845280293,44263.04485227705,39031,0,1,0.8817965445048253,0.8817965445048253,1,57.16148581838585,796232.4,444953.39999999997,351279.00000000006
surge_pricing,2025-02-28,18,TRUE,42235,37408,19158.660161146872,42938.407034765085,37408,0,1,0.8712013924902386,0.8712013924902386,1,56.67803107732477,763123.2,426451.2,336671.99999999994
surge_pricing,2025-02-28,19,FALSE,21451,18999,3193.570371186519,7229.52325659495,7229.52325659495,11769.47674340505,0.38052125146560084,1,2.627974117472911,0,72.20971581877188,147482.274434537,82416.56512518242,65065.70930935457
surge_pricing,2025-02-28,20,FALSE,13526,11980,21647.772511014475,49157.92619848475,11980,0,1,0.24370434081430542,0.24370434081430542,1,14.776092023883272,244392,136572,107820
surge_pricing,2025-02-28,21,FALSE,9096,8056,21647.772511014475,49157.92619848475,8056,0,1,0.1638799807679503,0.1638799807679503,1,9.936243517896797,164342.4,91838.4,72504
surge_pricing,2025-02-28,22,FALSE,7497,6640,21647.772511014475,49157.92619848475,6640,0,1,0.13507486001727778,0.13507486001727778,1,8.189753842953664,135456,75696,59760
surge_pricing,2025-02-28,23,FALSE,9511,8424,21647.772511014475,49157.92619848475,8424,0,1,0.1713660573472211,0.1713660573472211,1,10.390133489915915,171849.6,96033.59999999999,75816.00000000001
surge_pricing,2025-03-01,0,FALSE,12843,11375,21647.772511014475,49157.92619848475,11375,0,1,0.231397068177189,0.231397068177189,1,14.029887042710538,232050,129675,102375
surge_pricing,2025-03-01,1,FALSE,14669,12993,21647.772511014475,49157.92619848475,12993,0,1,0.26431139400670034,0.26431139400670034,1,16.025522843598942,265057.2,148120.19999999998,116937.00000000003
surge_pricing,2025-03-01,2,FALSE,18672,16538,21647.772511014475,49157.92619848475,16538,0,1,0.33642590888038254,0.33642590888038254,1,20.39791401427225,337375.2,188533.19999999998,148842.00000000003
surge_pricing,2025-03-01,3,FALSE,24237,21467,4474.892733767873,10119.380761376218,10119.380761376218,11347.619238623782,0.47139240515098607,1,2.1213748653411204,0,71.77488682171266,206435.36753207486,115360.94067968888,91074.42685238598
surge_pricing,2025-03-01,4,FALSE,28459,25207,7078.058626198572,15964.717739657119,15964.717739657119,9242.282260342881,0.6333446161644432,1,1.5789192399803356,0.42108076001966444,70.71415348316073,325680.24188900524,181997.78223209115,143682.45965691408
surge_pricing,2025-03-01,5,FALSE,30894,27363,8909.293829532195,20049.981570352247,20049.981570352247,7313.018429647753,0.7327406194624949,1,1.3647394090606775,0.6352605909393225,69.78983407616369,409019.6240351858,228569.78990201562,180449.83413317017
surge_pricing,2025-03-01,6,FALSE,32669,28935,10358.422502328485,23262.574812021554,23262.574812021554,5672.425187978446,0.8039597308457423,1,1.2438433936834485,0.7561566063165515,68.92865540124264,474556.5261652397,265193.3528570457,209363.17330819397
